repo,full_name,html_url,url
rstudio,rstudio/rstudio,https://github.com/rstudio/rstudio,https://api.github.com/repos/rstudio/rstudio
R-Websockets,rstudio/R-Websockets,https://github.com/rstudio/R-Websockets,https://api.github.com/repos/rstudio/R-Websockets
ace,rstudio/ace,https://github.com/rstudio/ace,https://api.github.com/repos/rstudio/ace
pdf.js,rstudio/pdf.js,https://github.com/rstudio/pdf.js,https://api.github.com/repos/rstudio/pdf.js
markdown,rstudio/markdown,https://github.com/rstudio/markdown,https://api.github.com/repos/rstudio/markdown
highlight.js,rstudio/highlight.js,https://github.com/rstudio/highlight.js,https://api.github.com/repos/rstudio/highlight.js
sundown,rstudio/sundown,https://github.com/rstudio/sundown,https://api.github.com/repos/rstudio/sundown
shiny,rstudio/shiny,https://github.com/rstudio/shiny,https://api.github.com/repos/rstudio/shiny
jslider,rstudio/jslider,https://github.com/rstudio/jslider,https://api.github.com/repos/rstudio/jslider
shiny-server,rstudio/shiny-server,https://github.com/rstudio/shiny-server,https://api.github.com/repos/rstudio/shiny-server
shiny-incubator,rstudio/shiny-incubator,https://github.com/rstudio/shiny-incubator,https://api.github.com/repos/rstudio/shiny-incubator
node-unixgroups,rstudio/node-unixgroups,https://github.com/rstudio/node-unixgroups,https://api.github.com/repos/rstudio/node-unixgroups
node-http-proxy,rstudio/node-http-proxy,https://github.com/rstudio/node-http-proxy,https://api.github.com/repos/rstudio/node-http-proxy
shiny_example,rstudio/shiny_example,https://github.com/rstudio/shiny_example,https://api.github.com/repos/rstudio/shiny_example
libuv,rstudio/libuv,https://github.com/rstudio/libuv,https://api.github.com/repos/rstudio/libuv
httpuv,rstudio/httpuv,https://github.com/rstudio/httpuv,https://api.github.com/repos/rstudio/httpuv
faye-websocket-node,rstudio/faye-websocket-node,https://github.com/rstudio/faye-websocket-node,https://api.github.com/repos/rstudio/faye-websocket-node
bootstrap-daterangepicker,rstudio/bootstrap-daterangepicker,https://github.com/rstudio/bootstrap-daterangepicker,https://api.github.com/repos/rstudio/bootstrap-daterangepicker
ggvis,rstudio/ggvis,https://github.com/rstudio/ggvis,https://api.github.com/repos/rstudio/ggvis
reactnb,rstudio/reactnb,https://github.com/rstudio/reactnb,https://api.github.com/repos/rstudio/reactnb
d3heatmap,rstudio/d3heatmap,https://github.com/rstudio/d3heatmap,https://api.github.com/repos/rstudio/d3heatmap
shiny-testapp,rstudio/shiny-testapp,https://github.com/rstudio/shiny-testapp,https://api.github.com/repos/rstudio/shiny-testapp
shinyapps,rstudio/shinyapps,https://github.com/rstudio/shinyapps,https://api.github.com/repos/rstudio/shinyapps
packrat,rstudio/packrat,https://github.com/rstudio/packrat,https://api.github.com/repos/rstudio/packrat
shiny-examples,rstudio/shiny-examples,https://github.com/rstudio/shiny-examples,https://api.github.com/repos/rstudio/shiny-examples
node-client-sessions,rstudio/node-client-sessions,https://github.com/rstudio/node-client-sessions,https://api.github.com/repos/rstudio/node-client-sessions
giza,rstudio/giza,https://github.com/rstudio/giza,https://api.github.com/repos/rstudio/giza
rscrypt,rstudio/rscrypt,https://github.com/rstudio/rscrypt,https://api.github.com/repos/rstudio/rscrypt
rstudioapi,rstudio/rstudioapi,https://github.com/rstudio/rstudioapi,https://api.github.com/repos/rstudio/rstudioapi
rmarkdown,rstudio/rmarkdown,https://github.com/rstudio/rmarkdown,https://api.github.com/repos/rstudio/rmarkdown
