owner,repo
tidyverse,ggplot2
tidyverse,dplyr
hadley,rvest
topepo,caret
r-lib,httr
tidyverse,broom
tidyverse,magrittr
tidyverse,readr
tidyverse,purrr
tidyverse,tidyr
r-lib,testthat
hadley,plyr
tidyverse,tidyverse
tidyverse,readxl
Jimhester,lintr
tidyverse,lubridate
hadley,multidplyr
r-lib,pkgdown
tidyverse,reprex
hadley,bigvis
klutometis,roxygen
tidyverse,modelr
r-dbi,bigrquery
tidyverse,haven
tidyverse,stringr
tidyverse,glue
tidyverse,forcats
r-lib,R6
r-lib,covr
r-dbi,RMySQL
tidyverse,tibble
hadley,reshape
hadley,emo
hadley,strict
r-dbi,odbc
r-lib,styler
r-dbi,RSQLite
r-lib,progress
Jimhester,gmailr
r-lib,rlang
r-lib,svglite
r-dbi,DBI
Jimhester,lookup
r-lib,usethis
r-lib,xml2
r-lib,memoise
tidyverse,dbplyr
r-dbi,RPostgres
r-lib,crayon
lionel-,ggstance
hadley,dtplyr
tidyverse,googledrive
hadley,scales
topepo,recipes
hadley,assertthat
hadley,lazyeval
r-lib,remotes
r-lib,gh
r-lib,processx
tidyverse,style
r-lib,debugme
hadley,babynames
hadley,purrrlyr
r-lib,evaluate
r-lib,callr
topepo,rsample
gaborcsardi,secret
r-lib,cli
hadley,nycflights13
r-lib,rcmdcheck
r-lib,keyring
tidyverse,hms
r-lib,pillar
hadley,monads
lionel-,vdiffr
r-lib,rappdirs
r-lib,clisymbols
r-lib,fs
r-lib,prettycode
r-lib,roxygen2md
r-lib,desc
r-lib,later
topepo,yardstick
r-lib,withr
r-lib,zip
hadley,sloop
r-lib,async
tidyverse,tidyselect
gaborcsardi,prettyunits
hadley,gtable
r-dbi,RMariaDB
r-lib,gargle
r-lib,pkgapi
topepo,tidyposterior
r-lib,pkgconfig
r-lib,liteq
r-lib,sessioninfo
r-lib,pkgload
r-lib,pkgbuild
r-lib,objectable
tidyverse,blob
r-lib,pkginstall
r-lib,httrmock
r-lib,crancache
r-lib,revdepcheck
r-dbi,SQL
r-dbi,DBItest
r-lib,oldie
lionel-,fontquiver
tidyverse,tidytemplate
r-lib,pkgdepends
r-lib,filelock
r-lib,rematch2
r-lib,pingr
topepo,Cubist
r-lib,pkgman
r-lib,whoami
topepo,C5.0
r-lib,tar
r-lib,ansistrings
tidyverse,googlesheets4
r-dbi,RKazam
r-lib,osname
r-lib,conf
topepo,AmesHousing
r-lib,tracer
r-lib,xmlparsedata
